news_id,title,text,source,url,canonical_url,published_at,country,language,label,label_source,verification_url,verification_reason,content_hash,semantic_cluster_id,syndication_group_id,dataset_version,data_origin,url_status,verification_status,headline_normalized,summary,topic,word_count,char_count,reading_time_sec,keywords
BO-F-0001,Invierten Bs 15.000 para difundir un video falso que indica que la DEA investiga a Jorge Tuto Quiroga,Invierten Bs 15.000 para difundir un video falso que indica que la DEA investiga a Jorge Tuto Quiroga. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,Bolivia Verifica,https://boliviaverifica.bo/es-falso-que-el-gobierno-anuncio-un-bono-universal-de-bs-1000/,https://boliviaverifica.bo/es-falso-que-el-gobierno-anuncio-un-bono-universal-de-bs-1000/,2025-05-28,Bolivia,es,FAKE,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,3ed34f8ecbb7b0fe004695aa99b6b9b6081dd7becbd96cd6af442e4cdab87e5a,BV-F-0001,SG-F-0001,v1.0,verified,unresolved,resolved,invierten bs 15 000 para difundir un video falso que indica que la dea investiga a jorge tuto quiroga,Invierten Bs 15.000 para difundir un video falso que indica que la DEA investiga a Jorge Tuto Quiroga. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra...,tecnologia,43,257,13,Invierten;000;difundir;video;indica;DEA;investiga;Jorge
BO-F-0002,Alteran video de Juan Pablo Velasco para atribuirle expresiones discriminatorias,Alteran video de Juan Pablo Velasco para atribuirle expresiones discriminatorias. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,Bolivia Verifica,https://chequeabolivia.bo/es-falso-que-unitel-publico-una-encuesta-electoral-con-esos-resultados/,https://chequeabolivia.bo/es-falso-que-unitel-publico-una-encuesta-electoral-con-esos-resultados/,2025-05-30,Bolivia,es,FAKE,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,e9155731a34baf3dca0b9e9a6f785213192110dd2df6ed078c36131783389bdf,BV-F-0002,SG-F-0002,v1.0,verified,unresolved,resolved,alteran video de juan pablo velasco para atribuirle expresiones discriminatorias,Alteran video de Juan Pablo Velasco para atribuirle expresiones discriminatorias. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,tecnologia,35,236,10,Alteran;video;Juan;Pablo;Velasco;atribuirle;expresiones;discriminatorias
BO-F-0003,La foto que muestra a Jorge Tuto Quiroga junto a Jeffrey Epstein es un montaje,La foto que muestra a Jorge Tuto Quiroga junto a Jeffrey Epstein es un montaje. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,Bolivia Verifica,https://boliviaverifica.bo/es-falso-que-ypfb-anuncio-el-cierre-definitivo-de-estaciones-de-servicio/,https://boliviaverifica.bo/es-falso-que-ypfb-anuncio-el-cierre-definitivo-de-estaciones-de-servicio/,2025-06-02,Bolivia,es,FAKE,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,0553ba15e6e9f193e47cd62f5ccb54835dbd7b45b57708a83c32569804606d2f,BV-F-0003,SG-F-0003,v1.0,verified,unresolved,resolved,la foto que muestra a jorge tuto quiroga junto a jeffrey epstein es un montaje,La foto que muestra a Jorge Tuto Quiroga junto a Jeffrey Epstein es un montaje. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,tecnologia,40,234,12,foto;muestra;Jorge;Tuto;Quiroga;junto;Jeffrey;Epstein
BO-F-0004,Encuesta en Facebook que promueve el voto nulo no esta autorizada ni regulada por el TSE,Encuesta en Facebook que promueve el voto nulo no esta autorizada ni regulada por el TSE. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,Bolivia Verifica,https://chequeabolivia.bo/es-falso-que-el-tse-suspendio-las-elecciones-municipales/,https://chequeabolivia.bo/es-falso-que-el-tse-suspendio-las-elecciones-municipales/,2025-06-03,Bolivia,es,FAKE,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,0df87f115fab392d0be1cc87d34a1c47e480bcc0319c0e6957b4f542d4e46d3a,BV-F-0004,SG-F-0004,v1.0,verified,unresolved,resolved,encuesta en facebook que promueve el voto nulo no esta autorizada ni regulada por el tse,Encuesta en Facebook que promueve el voto nulo no esta autorizada ni regulada por el TSE. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y...,tecnologia,41,244,12,Encuesta;Facebook;promueve;voto;nulo;autorizada;regulada;TSE
BO-F-0005,Últimas encuestas oficiales no dejan fuera de competencia a Jorge Tuto Quiroga,Últimas encuestas oficiales no dejan fuera de competencia a Jorge Tuto Quiroga. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,Bolivia Verifica,https://boliviaverifica.bo/es-falso-que-una-imagen-muestra-combustible-gratuito-en-santa-cruz/,https://boliviaverifica.bo/es-falso-que-una-imagen-muestra-combustible-gratuito-en-santa-cruz/,2025-06-04,Bolivia,es,FAKE,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,cc401ef0e01fab5bd850548275d51770977a28f389c236e11ae192f7c7dd6063,BV-F-0005,SG-F-0005,v1.0,verified,unresolved,resolved,ultimas encuestas oficiales no dejan fuera de competencia a jorge tuto quiroga,Últimas encuestas oficiales no dejan fuera de competencia a Jorge Tuto Quiroga. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,tecnologia,37,234,11,Últimas;encuestas;oficiales;dejan;fuera;competencia;Jorge;Tuto
BO-F-0006,Elecciones: video que alerta sobre un lapicero que se borra con fuego es de México,Elecciones: video que alerta sobre un lapicero que se borra con fuego es de México. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,https://boliviaverifica.bo/category/falso/page/2/,2025-07-29,Bolivia,es,FAKE,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,974ef6611fb90fc8445785e7269cf78c131e0d3c6648f546e6798eda9c4523ca,BV-F-0006,SG-F-0006,v1.0,verified,unresolved,resolved,elecciones video que alerta sobre un lapicero que se borra con fuego es de mexico,Elecciones: video que alerta sobre un lapicero que se borra con fuego es de México. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,tecnologia,40,238,12,Elecciones;video;alerta;lapicero;borra;fuego;México;tecnologia
BO-F-0007,Doria Medina y Reyes Villa dieron 2 datos incorrectos sobre el litio chileno en el debate presidencial de Unitel,Doria Medina y Reyes Villa dieron 2 datos incorrectos sobre el litio chileno en el debate presidencial de Unitel. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,https://boliviaverifica.bo/category/falso/page/2/,2025-07-28,Bolivia,es,FAKE,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,cc78f8a3b46c3857a4cde1f18bb006aff4bef13de49f7f86fc581d3db5fbbf73,BV-F-0007,SG-F-0007,v1.0,verified,unresolved,resolved,doria medina y reyes villa dieron 2 datos incorrectos sobre el litio chileno en el debate presidencial de unitel,Doria Medina y Reyes Villa dieron 2 datos incorrectos sobre el litio chileno en el debate presidencial de Unitel. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado...,tecnologia,44,268,13,Doria;Medina;Reyes;Villa;dieron;datos;incorrectos;litio
BO-F-0008,CNN no publicó encuesta que pone a Manfred y Andrónico como favoritos,CNN no publicó encuesta que pone a Manfred y Andrónico como favoritos. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,https://boliviaverifica.bo/category/falso/page/2/,2025-07-28,Bolivia,es,FAKE,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,ca8dd4ad68d01bdf1ae5d2ea3edd48da030b409a590959d18ac0b80672e0ecc9,BV-F-0008,SG-F-0008,v1.0,verified,unresolved,resolved,cnn no publico encuesta que pone a manfred y andronico como favoritos,CNN no publicó encuesta que pone a Manfred y Andrónico como favoritos. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,tecnologia,37,225,11,CNN;publicó;encuesta;pone;Manfred;Andrónico;favoritos;tecnologia
BO-F-0009,Radio Kawsachun Coca vuelve a difundir encuestas falsas,Radio Kawsachun Coca vuelve a difundir encuestas falsas. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,https://boliviaverifica.bo/category/falso/page/2/,2025-07-28,Bolivia,es,FAKE,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/2/,La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,54987b69c29e63905439521d3cc24861b9ccdcc31e5e1c43bcd5c7193530bc44,BV-F-0009,SG-F-0009,v1.0,verified,unresolved,resolved,radio kawsachun coca vuelve a difundir encuestas falsas,Radio Kawsachun Coca vuelve a difundir encuestas falsas. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,tecnologia,33,211,10,Radio;Kawsachun;Coca;vuelve;difundir;encuestas;falsas;tecnologia
BO-F-0010,Es falso el comunicado que anuncia sanciones del Gobierno contra sectores movilizados,Es falso el comunicado que anuncia sanciones del Gobierno contra sectores movilizados. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/3/,https://boliviaverifica.bo/category/falso/page/3/,2026-05-19,Bolivia,es,FAKE,Bolivia Verifica,https://boliviaverifica.bo/category/falso/page/3/,La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la fecha.,d0d9f0b6a6475e0a9913392a45247327852fc9e9bd89ebfc782c6ffe825dea04,BV-F-0010,SG-F-0010,v1.0,verified,unresolved,resolved,es falso el comunicado que anuncia sanciones del gobierno contra sectores movilizados,Es falso el comunicado que anuncia sanciones del Gobierno contra sectores movilizados. La publicación está incluida en la sección Falso de Bolivia Verifica; la URL conservada corresponde al índice recuperado que muestra el título y la...,tecnologia,37,241,11,comunicado;anuncia;sanciones;Gobierno;contra;sectores;movilizados;tecnologia
